holdout,row_index,exp019_p_lipid,best_component,best_component_p_lipid,p_shape3,p_shape6,p_shell6_shape,p_shell6_shape3,p_hydro4,p_geom,p_chem
alphafold,75,0.2958483088761568,shell6_shape,0.4388064928352833,0.3733372502028942,0.3233939968049526,0.4388064928352833,0.2770194485783577,0.3296421580016613,0.27310983277857304,0.2760761082172394
alphafold,78,0.23963646683841944,shell6_shape3,0.32337623182684183,0.21501219272613525,0.17920635174959898,0.25009947875514627,0.32337623182684183,0.3046855665743351,0.20114054158329964,0.18977364245802164
alphafold,82,0.028776948549784718,shell6_shape,0.048238328541629016,0.03453050390817225,0.02396157360635698,0.048238328541629016,0.036474961787462234,0.021587052498944104,0.023594688856974244,0.03826646599918604
alphafold,83,0.37587659657001493,geom,0.45565053075551987,0.4440240301191807,0.4032217897474766,0.40600116178393364,0.36164116859436035,0.26942945271730423,0.45565053075551987,0.38944004103541374
alphafold,85,0.3365076283924282,shape3,0.5329948749858886,0.5329948749858886,0.27480839751660824,0.4981266325339675,0.3733566584996879,0.29329927917569876,0.3633386930450797,0.3777351137250662
alphafold,89,0.21211424143984914,shape3,0.33740558195859194,0.33740558195859194,0.2134765745140612,0.33113278076052666,0.255154887214303,0.1895312312990427,0.1762582939118147,0.22615022026002407
alphafold,90,0.18434676621109244,geom,0.23758856765925884,0.21140137314796448,0.16224420815706253,0.22567033395171165,0.14539501816034317,0.18556730449199677,0.23758856765925884,0.19093873258680105
alphafold,96,0.13533850694075228,shape6,0.17728286981582642,0.1672032829374075,0.17728286981582642,0.1653079017996788,0.11921090073883533,0.14693186059594154,0.1409017350524664,0.09236516850069165
alphafold,101,0.19375595673918725,shell6_shape,0.3853409211151302,0.20774288568645716,0.19561727531254292,0.3853409211151302,0.24184074066579342,0.17174336686730385,0.22349484357982874,0.13608355727046728
alphafold,104,0.033245101268403236,shape6,0.06053971988148987,0.03998218523338437,0.06053971988148987,0.025948811788111925,0.021015673293732107,0.032358695403672755,0.0224622362293303,0.029849181533791125
alphafold,109,0.3556594742462039,shell6_shape,0.4697175044566393,0.448363134637475,0.20314582716673613,0.4697175044566393,0.3574962690472603,0.42913700081408024,0.3567634951323271,0.43175477907061577
alphafold,110,0.2266361270099878,shape3,0.4640961866825819,0.4640961866825819,0.21668497240170836,0.23304244969040155,0.2636861698701978,0.18085716664791107,0.14939414663240314,0.3225581794977188
alphafold,114,0.4572682662867009,shape3,0.711328940000385,0.711328940000385,0.5090965637937188,0.5405719205737114,0.3294570092111826,0.3121396377682686,0.4583715097978711,0.6772766108624637
alphafold,115,0.2990056160837412,chem,0.39327115938067436,0.22686083428561687,0.2453341707587242,0.38481295108795166,0.3118174448609352,0.27590992860496044,0.2686953768134117,0.39327115938067436
alphafold,117,0.1827030353248119,chem,0.25333065912127495,0.24640115723013878,0.16691111028194427,0.18200622592121363,0.14781534112989902,0.19282975513488054,0.1526283109560609,0.25333065912127495
alphafold,118,0.2459188895300031,shape3,0.33752912282943726,0.33752912282943726,0.2886929605156183,0.1621669284068048,0.16534997336566448,0.28016059286892414,0.17242051288485527,0.32297040801495314
alphafold,119,0.4647518452256918,shape3,0.6627474427223206,0.6627474427223206,0.4636959508061409,0.6481270976364613,0.5941248442977667,0.46271682530641556,0.3079232294112444,0.49529837630689144
alphafold,120,0.13894486129283906,shell6_shape,0.19101220462471247,0.1579503882676363,0.13120037503540516,0.19101220462471247,0.17093507200479507,0.16923255752772093,0.13704076502472162,0.08631553687155247
alphafold,122,0.4520049721002579,shell6_shape3,0.6569719202816486,0.4673375263810158,0.2964492104947567,0.5443927198648453,0.6569719202816486,0.43342310562729836,0.37593676149845123,0.49724386259913445
alphafold,123,0.08031753366813064,shell6_shape,0.13388969469815493,0.1297055445611477,0.060389319434762,0.13388969469815493,0.08346694381907582,0.10627660946920514,0.04451568378135562,0.1069391118362546
alphafold,124,0.30910027362406256,shape3,0.44068022118881345,0.44068022118881345,0.22547439392656088,0.37130390852689743,0.422930421307683,0.2999908998608589,0.2305547557771206,0.3665508972480893
alphafold,128,0.37555185314267875,chem,0.5786020373925567,0.4017601739615202,0.34857601672410965,0.4229419380426407,0.5472240764647722,0.21144785173237324,0.1919092833995819,0.5786020373925567
alphafold,134,0.12623315416276454,shape3,0.18300534039735794,0.18300534039735794,0.15855028666555882,0.17476753145456314,0.1588950240984559,0.08401540014892817,0.12277926132082939,0.10692579858005047
