kind,C,mode,thr,int_f1,int_lipid5,fire,apo_pdb_f1,apo_pdb_auc,apo_pdb_fire,alphafold_f1,alphafold_auc,alphafold_fire,holdout_mean
rich,30.0,maxlegacy,0.9,0.8949570965687772,0.6587819224506609,0.03064388961892247,0.746031746031746,0.7817910447761194,0.17094017094017094,0.804733727810651,0.8393330807123911,0.18791946308724833,0.7753827369211985
rich,0.1,maxlegacy,0.9,0.8945139246967535,0.6570188651550177,0.02709592641261498,0.7500000000000001,0.7746268656716417,0.18803418803418803,0.7999999999999999,0.8270178097764305,0.19463087248322147,0.775
no_base,0.1,maxlegacy,0.9,0.8945634854561316,0.6575896041526832,0.026228646517739818,0.7500000000000001,0.7740298507462686,0.1794871794871795,0.7999999999999999,0.8251231527093597,0.19463087248322147,0.775
no_base,0.3,maxlegacy,0.9,0.8945998542041924,0.6581483652753203,0.028567674113009197,0.746031746031746,0.7817910447761194,0.17094017094017094,0.8023952095808384,0.84785903751421,0.174496644295302,0.7742134778062922
no_base,1.0,maxlegacy,0.9,0.8948420959282913,0.6586666911183414,0.029855453350854138,0.752,0.7943283582089553,0.17094017094017094,0.7951807228915663,0.845774914740432,0.16778523489932887,0.7735903614457831
no_base,0.03,maxlegacy,0.9,0.8942407042802364,0.6566473044046504,0.02176084099868594,0.7538461538461538,0.7776119402985076,0.19658119658119658,0.7931034482758621,0.7830617658203866,0.21476510067114093,0.773474801061008
compact,0.1,maxlegacy,0.95,0.8960219743935065,0.6599250697232989,0.018423127463863338,0.7559055118110236,0.7922388059701493,0.1623931623931624,0.7901234567901235,0.8556271314892004,0.12751677852348994,0.7730144843005735
compact,1.0,maxlegacy,0.95,0.895927801775112,0.6600884794775894,0.02128777923784494,0.752,0.7916417910447762,0.15384615384615385,0.7901234567901235,0.856763925729443,0.1342281879194631,0.7710617283950618
compact,3.0,maxlegacy,0.95,0.8957005397881229,0.6600678017835432,0.02152431011826544,0.752,0.7916417910447762,0.15384615384615385,0.7901234567901235,0.856763925729443,0.1342281879194631,0.7710617283950618
compact,10.0,maxlegacy,0.95,0.8957005397881229,0.6600678017835432,0.021708278580814717,0.752,0.7916417910447762,0.15384615384615385,0.7901234567901235,0.856763925729443,0.1342281879194631,0.7710617283950618
compact,30.0,maxlegacy,0.95,0.8957005397881229,0.6600678017835432,0.021734559789750328,0.752,0.7916417910447762,0.15384615384615385,0.7901234567901235,0.856763925729443,0.1342281879194631,0.7710617283950618
rich,0.3,maxlegacy,0.95,0.8959231961932983,0.6600808797713594,0.020446780551905387,0.752,0.7934328358208955,0.1452991452991453,0.7901234567901235,0.856763925729443,0.1342281879194631,0.7710617283950618
rich,1.0,maxlegacy,0.95,0.8959888998122423,0.6602523789833039,0.021366622864651776,0.752,0.7916417910447762,0.15384615384615385,0.7901234567901235,0.856763925729443,0.1342281879194631,0.7710617283950618
no_base,0.1,maxlegacy,0.95,0.8959250202803695,0.6600845249813813,0.018107752956636004,0.752,0.793134328358209,0.13675213675213677,0.7901234567901235,0.8556271314892004,0.12751677852348994,0.7710617283950618
compact,0.03,maxlegacy,0.95,0.8966147469172924,0.6602696542534062,0.014638633377135349,0.7500000000000001,0.7785074626865671,0.1282051282051282,0.7901234567901235,0.8586585827965139,0.12751677852348994,0.7700617283950618
rich,0.03,maxlegacy,0.9,0.8946490957294425,0.6567341364670054,0.023180026281208934,0.7538461538461538,0.7698507462686567,0.19658119658119658,0.7861271676300579,0.7866616142478212,0.2080536912751678,0.7699866607381058
no_base,10.0,maxlegacy,0.95,0.8961581153757495,0.6605241513782221,0.022128777923784496,0.7479674796747967,0.7940298507462686,0.13675213675213677,0.7901234567901235,0.854490337248958,0.12751677852348994,0.7690454682324601
no_base,30.0,maxlegacy,0.95,0.8960677586223612,0.6604591653838244,0.02226018396846255,0.7479674796747967,0.7940298507462686,0.13675213675213677,0.7901234567901235,0.854490337248958,0.12751677852348994,0.7690454682324601
compact,0.03,maxlegacy,0.9,0.894736335662838,0.6583475295876704,0.021892247043363993,0.7538461538461538,0.7716417910447761,0.18803418803418803,0.7836257309941521,0.7982190223569534,0.19463087248322147,0.768735942420153
rich,3.0,maxlegacy,0.95,0.8959901203573237,0.6602769034784166,0.021839684625492774,0.752,0.7955223880597015,0.1452991452991453,0.7852760736196318,0.8476695718075028,0.14093959731543623,0.7686380368098159
no_base,3.0,maxlegacy,0.9,0.8949397351117212,0.6588451025138409,0.03032851511169514,0.7419354838709676,0.7901492537313433,0.1623931623931624,0.7951807228915663,0.8465327775672603,0.174496644295302,0.768558103381267
no_base,10.0,maxlegacy,0.9,0.8948485523810251,0.6587905415590243,0.030696452036793692,0.7419354838709676,0.7901492537313433,0.1623931623931624,0.7951807228915663,0.8465327775672603,0.174496644295302,0.768558103381267
no_base,30.0,maxlegacy,0.9,0.8948485523810251,0.6587905415590243,0.030801576872536138,0.7419354838709676,0.7901492537313433,0.1623931623931624,0.7951807228915663,0.8465327775672603,0.174496644295302,0.768558103381267
compact,0.3,paper17,0.9,0.8966448873136396,0.6597473430134799,0.028699080157687254,0.746031746031746,0.800597014925373,0.1794871794871795,0.7904191616766467,0.8183023872679045,0.20134228187919462,0.7682254538541964
compact,1.0,paper17,0.9,0.8965477617551558,0.6597270002359592,0.029724047306176084,0.746031746031746,0.800597014925373,0.1794871794871795,0.7904191616766467,0.8183023872679045,0.20134228187919462,0.7682254538541964
rich,0.3,paper17,0.9,0.8963632913128634,0.6594380084706729,0.02888304862023653,0.746031746031746,0.800597014925373,0.1794871794871795,0.7904191616766467,0.8183023872679045,0.20134228187919462,0.7682254538541964
compact,0.3,maxlegacy,0.95,0.8959514014213944,0.6599628062422866,0.02049934296977661,0.746031746031746,0.7829850746268656,0.15384615384615385,0.7901234567901235,0.8556271314892004,0.12751677852348994,0.7680776014109347
rich,0.1,maxlegacy,0.95,0.8958587467120797,0.659919451403577,0.018633377135348225,0.746031746031746,0.7829850746268656,0.15384615384615385,0.7901234567901235,0.8556271314892004,0.12751677852348994,0.7680776014109347
compact,0.1,paper17,0.9,0.8968437892637283,0.6597338593838973,0.02659658344283837,0.7500000000000001,0.7934328358208956,0.19658119658119658,0.7831325301204819,0.8177339901477834,0.20134228187919462,0.766566265060241
simple,10.0,maxlegacy,0.99,0.8970528402048145,0.6614763818268716,0.014323258869908016,0.7401574803149608,0.7707462686567164,0.10256410256410256,0.7926829268292682,0.8467222432739674,0.14093959731543623,0.7664202035721145
