components,n_components,lipid5,lipid5_std,macro10,macro10_std,binary_f1,binary_f1_std,CLR,MYR,OLA,PLM,STE,apo_f1,apo_auroc,alphafold_f1,alphafold_auroc,holdout_mean,holdout_min
shell6_shape+shell6_shape3+hydro4+chem,4,0.6809925187506431,0.032443884400600434,0.77603918046389,0.019845983681947947,0.9059902819864935,0.015237957538915456,0.7729266449683674,0.7143410845939312,0.6191317976236966,0.6491365295414967,0.6494265370257234,0.6782608695652174,0.8029850746268657,0.647887323943662,0.8616900341038273,0.6630740967544397,0.647887323943662
shape6+shell6_shape+hydro4+geom+chem,5,0.6809788127350087,0.029617495822673236,0.7766309763314199,0.016856594906668774,0.904571672345915,0.016492413571459558,0.7712115187325393,0.7082774133749813,0.6236275366984171,0.6495724356030528,0.6522051592660535,0.6666666666666666,0.8023880597014926,0.6330935251798562,0.8597953770367563,0.6498800959232613,0.6330935251798562
shape6+geom+chem,3,0.6808899224179874,0.029865242043436626,0.7757190705558898,0.016168086023717915,0.9056283470183465,0.0170822730144754,0.7745571040816249,0.7102533507025506,0.6208551537018328,0.6553358597895873,0.6434481438143413,0.6666666666666666,0.7976119402985073,0.6376811594202898,0.8579007199696855,0.6521739130434783,0.6376811594202898
shape3+shell6_shape3+hydro4+geom,4,0.6807945083038472,0.031121723447944675,0.7759210379660564,0.018974712309953005,0.9044088585813076,0.015075125945686468,0.7678404160502879,0.712009031511476,0.6248545886381153,0.647469488162029,0.6517990171573286,0.6306306306306306,0.7988059701492538,0.6666666666666667,0.8683213338385752,0.6486486486486487,0.6306306306306306
shape6+shell6_shape3+hydro4+geom,4,0.68073440001424,0.03225971955854839,0.7760250856530088,0.018760471711349196,0.904843889516123,0.016118864020977102,0.7670728155102472,0.7095223975362895,0.6213403736567059,0.6523738950845729,0.6533625182833847,0.6486486486486487,0.7970149253731345,0.6323529411764706,0.8620689655172413,0.6405007949125596,0.6323529411764706
shell6_shape+shell6_shape3+hydro4+geom+chem,5,0.6806273459227213,0.030488617703956614,0.7761276288660044,0.01816727280263103,0.9050321436022462,0.016646475701165946,0.7693500045393877,0.7151132734380968,0.618907988447857,0.6481695271400377,0.6515959360482272,0.6666666666666666,0.8002985074626866,0.6619718309859155,0.8645320197044336,0.664319248826291,0.6619718309859155
shape3+shape6+geom+chem,4,0.6806214076919026,0.03165678434742335,0.7765975671160757,0.016407393583261952,0.9048029575128571,0.014874129674316432,0.7730081522571886,0.7116556888537275,0.6280424396897049,0.6515003098516273,0.638900447807265,0.6666666666666666,0.7988059701492538,0.6524822695035462,0.859037514209928,0.6595744680851063,0.6524822695035462
shell6_shape+geom+chem,3,0.6805749733216595,0.028541534523754117,0.7757894885916875,0.01576512185133362,0.9041600995905803,0.016046096025301958,0.7706944802139154,0.7138170346647246,0.6170952259160252,0.6541899276235114,0.6470781981901209,0.6724137931034483,0.8002985074626865,0.6428571428571429,0.8594164456233421,0.6576354679802956,0.6428571428571429
shell6_shape3+geom+chem,3,0.6804230316967034,0.031171216231603703,0.775235722861457,0.0180373333547706,0.904898344067731,0.014657185539810432,0.7667222055961035,0.7136548040342586,0.6188760653186395,0.6550065742888566,0.6478555092456585,0.6548672566371682,0.7952238805970149,0.6231884057971014,0.8671845395983327,0.6390278312171348,0.6231884057971014
shape3+shape6+shell6_shape+shell6_shape3+hydro4+geom,6,0.6803201315263496,0.02931951526886152,0.7764999891143557,0.016458117000091838,0.906240137772405,0.015063935711658023,0.7723787621833259,0.7091421735107055,0.6207352618681874,0.6486949069602848,0.6506495531092444,0.6548672566371682,0.8011940298507463,0.6714285714285715,0.8630162940507768,0.6631479140328698,0.6548672566371682
